Indicator;Country;2000_value;2000_notes;2000_source;2001_value;2001_notes;2001_source;2002_value;2002_notes;2002_source;2003_value;2003_notes;2003_source;2004_value;2004_notes;2004_source;2005_value;2005_notes;2005_source;2006_value;2006_notes;2006_source;2007_value;2007_notes;2007_source;2008_value;2008_notes;2008_source;2009_value;2009_notes;2009_source;2010_value;2010_notes;2010_source;2011_value;2011_notes;2011_source;2012_value;2012_notes;2012_source;2013_value;2013_notes;2013_source;2014_value;2014_notes;2014_source;2015_value;2015_notes;2015_source;2016_value;2016_notes;2016_source;2017_value;2017_notes;2017_source;2018_value;2018_notes;2018_source;2019_value;2019_notes;2019_source;2020_value;2020_notes;2020_source
Internet users (%);Malta;13,11;;Malta Communications Authority.;17,88;;Malta Communications Authority.;28,92;;Malta Communications Authority.;31,64;;Malta Communications Authority.;34,62;;Malta Communications Authority.;41,24;Population age 16-74.;Eurostat.;40,41;Population age 16-74.;Eurostat.;46,9;Population age 16-74.;Eurostat.;50,08;Population age 16-74.;Eurostat.;58,86;Population age 16-74.;Eurostat.;63;Population age 16-74.;Malta Communications Authority;68,02; Users in the last 3 months. Age 16-74.;Eurostat.;68,2; Users in the last 3 months.;Eurostat.;68,91;Population age 16-74.;Eurostat.;73,17;Population age 16-74.;Eurostat;75,96;Individuals who have used the internet 3 months prior to the survey - 2015;National Statistics Office;78,08;Individuals who have used the internet 3 months prior to the survey - 2016;National Statistics Office;81,01;Individuals who have used the internet 3 months prior to the survey - 2017;National Statistics Office;81,66;;National Statistics Office;85,78;;National Statistics Office;86,86;;National Statistics Office
Internet users (%);Marshall Islands;1,53;;National Telecommunications Authority.;1,71;;National Telecommunications Authority.;2,34;;National Telecommunications Authority.;2,57;;National Telecommunications Authority.;3,6;;National Telecommunications Authority.;3,88;;National Telecommunications Authority.;3,8;;National Telecommunications Authority.;3,95;;ITU estimate.;4,6;;ITU estimate.;5,6;;ITU estimate.;7;;ITU estimate.;10;;ITU estimate.;12,5;;ITU estimate.;14;;ITU estimate.;16,8;;ITU estimate.;19,28;;ITU estimate.;29,79;;ITU Estimate.;38,7;;ITU estimate.;;;;;;;;;
Internet users (%);Martinique [included in France data];7,79;;;10,31;;;15,35;;;20,33;;;27,78;;;32,65;;;34,99;;ITU estimate.;37,33;;ITU estimate.;39,67;;ITU estimate.;42;;ITU estimate.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Mauritania;0,19;;;0,26;;;0,36;;;0,42;;;0,48;;;0,67;;;0,98;;;1,43;;ITU estimate.;1,87;;ITU estimate.;2,28;;ITU estimate.;4;;ITU estimate.;4,5;;ITU estimate. ;5;;ITU estimate.;6,2;;ITU estimate.;11,8;;ITU estimate.;17,6;;ITU estimate.;24,1;;ITU Estimate.;24,2;;ITU estimate.;35,1;;ITU estimate.;36,7;;ITU estimate.;40,8;;ITU estimate.
Internet users (%);Mauritius;7,28;;Mauritius Telecom.;8,78;;Mauritius Telecom.;10,25;Population age 12+.;Mauritius Telecom.;12,19;;ITU estimate.;13,69;;ITU estimate.;15,17;;ITU estimate.;16,7;Population age 12+.;Central Statistics Office;20,22;;Information Communication Technologies Authority;21,81;Population age 12+.;Central Statistics Office;22,51;;Information Communication Technologies Authority;28,33;Population age 5+.;Central Statistics Office.;34,95;;ITU estimate.;35,42;Individuals aged 5 years and above;Statistics Mauritius;40,12;Population age 5+.;Statistics Mauritius;44,8;Population age 5+.;Statistics Mauritius;50,14;Estimate;Statistics Mauritius;52,19;;ITU Estimate.;55,4;;Statistics Mauritius;58,6;;Statistics Mauritius;61,73;;Statistics Mauritius;64,88;;Statistics Mauritius
Internet users (%);Mayotte;1,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Mexico;5,08;;COFETEL.;7,04;;INEGI.;11,9;Population age 6+.;ITU estimate.;12,9;Estimated based on 2002 and 2004 surveys' results. Population age 6+.;ITU estimate.;14,1;Population age 6+.;ITU estimate.;17,21;Estimate to December based on ENDUTIH survey. Refers to total population.;ITU estimate.;19,52;Estimate to December based on ENDUTIH survey. Refers to total population.;ITU estimate.;20,81;Estimate to December based on ENDUTIH survey. Refers to total population.;Comisión Federal de Telecomunicaciones;21,71;Estimate to December based on ENDUTIH survey. Refers to total population.;Comisión Federal de Telecomunicaciones de México;26,34;Estimate to December based on ENDUTIH survey. Refers to total population.;Comisión Federal de Telecomunicaciones de México;31,05;Estimate to December based on ENDUTIH survey. Refers to total population.;Comisión Federal de Telecomunicaciones de México;37,18;Population age 6+.;INEGI;39,75;Population age 6+.;Instituto Nacional de Estadística y Geografía (INEGI);43,46;Population age 6+.;Instituto Nacional de Estadística y Geografía (INEGI);44,39;Population age 6+.;Instituto Nacional de Estadística y Geografía (INEGI);57,43;Población de seis años o más. Datos referidos al mes de mayo de 2015;Instituto Nacional de Estadística y Geografía (INEGI);59,54;Figures for the population aged 6 and over. Data referring to the month of May 2016.;ITU;63,85;Figures for the population aged 6 and over. Data referring to the month of May 2017.;Instituto Nacional de Estadística y Geografía (INEGI);65,77;;Instituto Nacional de Estadística y Geografía (INEGI);70,07;;Instituto Nacional de Estadística y Geografía (INEGI);71,97;;Instituto Nacional de Estadística y Geografía (INEGI)
Internet users (%);Micronesia;3,73;;;4,66;;;5,57;;;9,23;;;11,02;;;11,88;;;12,75;;;13,62;;ITU estimate.;14,49;;Department of Transportation, Communications and Infrastructure;15,35;;Department of Transportation, Communications and Infrastructure;20;;ITU estimate.;22,8;;ITU estimate.;25,97;;ITU estimate.;27,8;;ITU estimate.;29,65;;ITU estimate.;31,5;;ITU estimate.;33,35;;ITU Estimate.;35,3;;ITU estimate.;;;;;;;;;
Internet users (%);Moldova;1,28;;;1,49;;;3,79;;;7,41;;;10,63;;;14,63;;National Regulatory Agency for Electronic Communications and Information Technology;19,62;;National Regulatory Agency for Electronic Communications and Information Technology;20,45;;National Regulatory Agency for Electronic Communications and Information Technology;23,39;Based on RCC data.;National Regulatory Agency for Electronic Communications and Information Technology;27,5;;ITU estimate.;32,3;;ITU estimate.;38;;National Regulatory Agency for Electronic Communications and Information Technology;43,37;;ITU estimate.;60;;Government of Moldova E-Government Center.;67;;Ministry of Information Technologies and Communication;69;;National Bureau of Statistics of the Republic of Moldova;71;According to the Analytical Survey report “Citizens” perception, uptake and support for the e-Transformation of Governance in the Republic of  Moldova” – 2016, the share of Internet users who accessed the Internet over the past 12 months at least once a day is of 71%.;National Bureau of Statistics of the Republic of Moldova;76,12;;ITU estimate.;;;;;;;;;
Internet users (%);Monaco;42,18;;;46,65;;;48,05;;;49,49;;;52,49;;;55,46;;;61,48;;;64,38;;ITU estimate.;67,25;;Direction des Communications Electroniques;70,1;;Direction des Communications Electroniques;75;;Direction des Communications Electroniques;80,3;;ITU estimate.;87;;ITU estimate.;90,7;;ITU estimate.;92,4;;ITU estimate.;93,36;;ITU estimate.;95,21;;ITU Estimate.;97,05;;ITU estimate.;;;;;;;;;
