Indicator;Country;2000_value;2000_notes;2000_source;2001_value;2001_notes;2001_source;2002_value;2002_notes;2002_source;2003_value;2003_notes;2003_source;2004_value;2004_notes;2004_source;2005_value;2005_notes;2005_source;2006_value;2006_notes;2006_source;2007_value;2007_notes;2007_source;2008_value;2008_notes;2008_source;2009_value;2009_notes;2009_source;2010_value;2010_notes;2010_source;2011_value;2011_notes;2011_source;2012_value;2012_notes;2012_source;2013_value;2013_notes;2013_source;2014_value;2014_notes;2014_source;2015_value;2015_notes;2015_source;2016_value;2016_notes;2016_source;2017_value;2017_notes;2017_source;2018_value;2018_notes;2018_source;2019_value;2019_notes;2019_source;2020_value;2020_notes;2020_source
Internet users (%);Rwanda;0,06;;;0,24;;;0,29;;;0,36;;;0,43;;;0,56;;ITU estimate.;;;;2,12;;ITU estimate.;4,5;;Agence Rwandaise de Régulation des Services d'Utilité Publique (RURA);7,7;Survey conducted by Rwanda Utilities Regulatory Agency in February 2010;Agence Rwandaise de Régulation des Services d'Utilité Publique (RURA);8;;ITU based on RURA report.;7;;ITU based on RURA report.;8,02;;ITU estimate.;9;;ITU estimate.;10,6;;ITU estimate.;18;;ITU estimate.;20;;ITU Estimate.;21,77;;ITU estimate.;25;;ITU estimate.;26;;ITU estimate.;26,5;;ITU estimate.
Internet users (%);Saint Kitts and Nevis;5,86;;;7,71;;;21,15;;;22,97;;;24,74;;;34;;ITU estimate.;38,5;;ITU estimate.;43,5;;ITU estimate.;49,2;;ITU estimate.;55,7;;ITU estimate.;63;;Statistics Departments in St. Kitts and Nevis;63,2;;ITU estimate.;64;;ITU estimate.;64,6;;ITU estimate.;68;;ECTEL;75,7;;ITU estimate.;76,82;;ITU Estimate.;80,71;;ITU estimate.;;;;;;;;;
Internet users (%);Saint Lucia;5,09;;;8,18;;;14,64;;;20,98;;;21,4;;;21,57;;;24,5;;ITU estimate.;27,9;;ITU estimate.;30;;ITU estimate.;31;;ITU estimate.;32,5;Census.;ITU estimate.;34;;ITU estimate.;34,82;15 years and older. Last 12 months.;Ministry of the Public Service, Information and Broadcasting.;36;;ITU estimate.;39,7;;ECTEL.;41,7;;ITU estimate.;43,8;;ITU Estimate.;46;;ITU estimate.;48,3;;ITU estimate.;50,7;;ITU estimate.;53,3;;ITU estimate.
Internet users (%);Saint Vincent and the Grenadines;3,25;Estimation based on GPRS subscribers, fixed and mobile.;Cable and Wireless (W.I.) Ltd.  (C&W).;5,09;Estimation based on GPRS subscribers, fixed and mobile.;Cable and Wireless (W.I.) Ltd.  (C&W).;5,55;Estimation based on GPRS subscribers, fixed and mobile.;National Telecommunications Regulatory Commission.;6,46;Estimate.;National Telecommunications Regulatory Commission.;7,37;Estimate.;National Telecommunications Regulatory Commission.;9,2;Estimate.;National Telecommunications Regulatory Commission.;12;;ITU estimate.;16;;ITU estimate.;21;;ITU estimate.;31;;ITU estimate.;33,7;;ITU estimate.;36,7;;ITU estimate.;40;;ITU estimate.;43,5;;ITU estimate.;47,4;;ECTEL;49,4;;ITU estimate.;51,5;;ITU estimate.;53,7;;ITU estimate.;56;;ITU estimate.;;;;;;
Internet users (%);Samoa;0,57;;Samoa Communications Ltd.;1,69;;Samoa Communications Ltd.;2,24;;Samoa Communications Ltd.;2,8;;Samoa Communications Ltd.;3,08;;Samoa Communications Ltd.;3,35;;Samoa Communications Ltd.;4,47;;Samoa Communications Ltd.;4,75;;ITU estimate.;5,03;;ITU estimate.;6;;ITU estimate.;7;;ITU estimate. ;11;;ITU estimate. ;12,92;;ITU estimate.;15,3;;ITU estimate.;21,2;;ITU estimate.;25,41;;ITU estimate.;29,41;;ITU Estimate.;33,61;;ITU estimate.;;;;;;;;;
Internet users (%);San Marino;48,8;;;50,34;;;50,83;;;50;;;50,57;;;50,26;;;50,21;;Direzione Generale Poste e Telecomunicazioni.;50,36;;Direzione Generale Poste e Telecomunicazioni.;54,52;;Direzione Generale Poste e Telecomunicazioni;54,21;;Direzione Generale Poste e Telecomunicazioni;;;;49,6;;Direzione Generale Poste e Telecomunicazioni;;;;;;;;;;;;;;;;60,18;;ITU estimate.;;;;;;;;;
Internet users (%);Sao Tome and Principe;4,64;;Companhia Santomense de Telecomuniçaôes s.a.r.l. (CST).;6,31;;Companhia Santomense de Telecomuniçaôes s.a.r.l. (CST).;7,58;;Companhia Santomense de Telecomuniçaôes s.a.r.l. (CST).;10,16;;ITU estimate.;13,32;;ITU estimate.;13,76;;ITU estimate.;14,18;;ITU estimate.;14,59;;Companhia Santomense de Telecomuniçaôes s.a.r.l. (CST).;15,48;;ITU estimate.;16,41;;ITU estimate.;18,75;;Autoridade Geral de Regulação;20,16;;ITU estimate.;21,57;;ITU estimate.;23;;ITU estimate.;24,41;;ITU estimate.;25,82;;ITU estimate.;28;;ITU Estimate.;29,93;;ITU estimate.;31,9;;ITU estimate.;32;;ITU estimate.;33;;ITU estimate.
Internet users (%);Saudi Arabia;2,21;;Saudi Telecommunications Company.;4,68;;Saudi Telecommunications Company.;6,38;;Saudi Telecommunications Company.;8;;Saudi Telecommunications Company.;10,23;;Saudi Telecommunications Company.;12,71;;Communication and Information Technology Commission.;19,46;;Communication and Information Technology Commission.;30;;CITC Market Studies Department.;36;;CITC Market Studies Department. ;38;;CITC;41;;Communication and Information Technology Commission;47,5;;Communication and Information Technology Commission;54;;ITU estimate.;60,5;;ITU estimate.;64,71;Population age 12-65 over total population;Communication and Information Technology Commission;69,62;please not that this number is reflecting the whole pouplition, based on the age range 12-65 years for the study it is 70% of the pouplation;Communications & IT Commission;74,88;;ITU;94,18;;Communications & IT Commission;93,31;;Communications & IT Commission;95,72;;Communications & IT Commission;97,86;;Communications & IT Commission
Internet users (%);Senegal;0,4;;Société Nationale des Télécommunications du Sénégal (SONATEL).;0,98;;Société Nationale des Télécommunications du Sénégal (SONATEL).;1,01;;Société Nationale des Télécommunications du Sénégal (SONATEL).;2,1;;Société Nationale des Télécommunications du Sénégal (SONATEL).;4,39;;Agence de Régulation des Télécommunications.;4,79;;Agence de Régulation des Télécommunications.;5,61;;Agence de Régulation des Télécommunications.;6,89;;ITU estimate.;7,12;;ITU estimate.;7,5;Refers to total population. Survey result: 14.5% for population age 12+.;ITU estimate.;8;Refers to total population. Survey result: 16% for population age 12+.;ITU estimate.;9,8;Refers to total population. Country estimates 17.5% for population age 12+.;ITU estimate.;10,8;Refers to total population.;ITU estimate.;13,1;Refers to total population.;ITU estimate.;17,7;Refers to total population.;ITU estimate.;21,7;;ITU estimate.;25,66;;ITU Estimate.;29,64;;ITU estimate.;35,3;Estimated based on DHS 2018;ITU estimate.;39,5;Estimated based on DHS 2019;ITU estimate.;42,6;;ITU estimate.
Internet users (%);Serbia;;;;;;;;;;;;;23,5;Population age 16-74.;ITU estimate. ;26,3;Population age 16-74.;ITU estimate. ;27,2;Population age 16-74.;Statistical Office of the Republic of Serbia.;33,15;Population age 16-74.;Eurostat.;35,6;;Republic Agency for Electronic Communications (RATEL);38,1;;Republic Agency for Electronic Communications (RATEL);40,9;;Republic Agency for Electronic Communications (RATEL);42,2;;Republic Agency for Electronic Communications (RATEL);48,1;;ITU estimate.;53,45;Population age 16-74.;Statistical Office of the Republic of Serbia;62,08;Population age 16-74.;Statistical Office of the Republic of Serbia;65,32;;Statistical Office of the Republic of Serbia;67,06;;Statistical Office of the Republic of Serbia;70,33;;Statistical Office of the Republic of Serbia;73,36;;Statistical Office of the Republic of Serbia;77,42;;Statistical Office of the Republic of Serbia;78,37;;Statistical office of the Republic of Serbia
Internet users (%);Seychelles;7,4;;ITU estimate.;11,02;Data at 31st December 2001.;Ministry of Information Technology and Communication.;14,3;;Ministry of Information Technology and Communication.;14,59;;Ministry of Information Technology and Communication.;24,27;;Ministry of Information Technology and Communication.;25,41;;Ministry of Information Technology and Communication.;34,95;;Ministry of Information Technology and Communication.;38,38;;MInistry of National Development;40,44;;MInistry of National Development;;;;41;;ITU estimate.;43,16;;ITU estimate.;47,08;;ITU estimate.;50,4;;ITU estimate.;51,25;;ITU estimate.;54,26;;ITU estimate.;56,51;;ITU Estimate.;58,77;;ITU estimate.;70,1;;ITU estimate.;75;;ITU estimate.;79;;ITU estimate.
Internet users (%);Sierra Leone;0,12;;;0,16;;;0,18;;;0,19;;;0,2;;;0,22;;;0,23;;;0,24;;ITU estimate.;0,25;;ITU estimate.;0,26;;ITU estimate.;0,58;;ITU estimate.;0,9;;ITU estimate.;2,5;;ITU estimate.;4;;ITU estimate.;6,06;;ITU estimate.;6,34;;ITU estimate.;11,77;;ITU Estimate.;13,24;;ITU estimate.;15,8;;ITU estimate.;16,8;;ITU estimate.;18;;ITU estimate.
Internet users (%);Singapore;36;;Infocomm Development Authority of Singapore;41,67;;Infocomm Development Authority of Singapore;47;;Infocomm Development Authority of Singapore;53,84;;Infocomm Development Authority of Singapore;62;Population age 15+.;Infocomm Development Authority of Singapore.;61;Population age 15+.;Infocomm Development Authority of Singapore.;59;Population age 15+.;Infocomm Development Authority of Singapore;69,9;Estimated based on proportion of resident Internet users (aged 7 & above) from IDA's annual survey on infocomm usage in household and by individuals. ;Infocomm Development Authority of Singapore;69;Estimated based on proportion of resident Internet users (aged 7 & above) from IDA's annual survey on infocomm usage in household and by individuals. ;Infocomm Development Authority of Singapore;69;Estimated based on proportion of resident Internet users (aged 7 & above) from IDA's annual survey on infocomm usage in household and by individuals. ;Infocomm Development Authority of Singapore;71;Estimated based on proportion of resident Internet users (aged 7 & above) from IDA's annual survey on infocomm usage in household and by individuals. ;Infocomm Development Authority of Singapore;71;Residents aged 7 years and above.;Infocomm Development Authority of Singapore;72;Residents aged 7 years and above.;Infocomm Development Authority of Singapore;80,9;Populatin age 7+.;ITU based on Infocomm Development Authority of Singapore;82,1;;ITU based on Infocomm Development Authority of Singapore;83,2;;Infocomm Media Development Authority ;84,45;;Infocomm Media Development Authority ;84,45;;Infocomm Media Development Authority ;88,17;Populatin age 7+.;Infocomm Media Development Authority ;88,95;;Infocomm Media Development Authority ;92;;Infocomm Media Development Authority 
Internet users (%);Slovakia;9,43;;Ministry of Transport, Posts and Telecommunications.;12,53;;Ministry of Transport, Posts and Telecommunications.;40,14;;Ministry of Transport, Posts and Telecommunications.;43,04;;Ministry of Transport, Posts and Telecommunications.;52,89;Population age 16-74.;Eurostat.;55,19;Population age 16-74.;Eurostat.;56,08;Population age 16-74.;Eurostat.;61,8;Population age 16-74.;Eurostat.;66,05;Population age 16-74 in the last 3 months (source: Eurostat).;"Eurostat.

Eurostat.
Eurostat.
";70;Population age 16-74 in the last 3 months (source: Eurostat).;Ministry of Transport, Construction and Regional Development of the Slovak Republic  ;75,71;Population age 16-74 in the last 3 months (source: Eurostat).;Ministry of Transport, Construction and Regional Development of the Slovak Republic  ;74,44; Users in the last 3 months. Age 16-74.;Eurostat.;76,71; Users in the last 3 months.;Eurostat.;77,88;Population age 16-74.;Eurostat.;79,98;Population 16-74. Last three months.;Statistical Office of the Slovak Republic.;77,63;The population at age of 16 -74. Last three months.;Statistical Office of the Slovak Republic;80,48;The population at age of 16 -74. Last three months.;Statistical Office of the Slovak Republic;81,63;The population at  age of 16 -74. Last three months.;Statistical Office of the Slovak Republic;80,45;;Statistical Office of the Slovak Republic;82,85;;Statistical Office of the Slovak Republic;89,92;;Statistical Office Of the Slovak Republic
Internet users (%);Slovenia;15,11;;Ministry of Transport and Communications.;30,18;;Telecommunications, Broadcasting and Post Agency.;27,84;;Telecommunications, Broadcasting and Post Agency.;31,85;;Telecommunications, Broadcasting and Post Agency.;40,81;;Eurostat.;46,81;In the last 3 months.;Eurostat.;54,01;Population age 16-74.;Eurostat.;56,74;Population age 16-74.;Eurostat.;58;Population age 16-74.;Eurostat.;64;Population age 16-74.;Eurostat.;70;Population age 16-74.;Eurostat.;67,34; Users in the last 3 months. Age 16-74.;Eurostat.;68,35; Users in the last 3 months.;Eurostat.;72,68;Population age 16-74.;Eurostat.;71,59;Population age 16-74.;Statistical Office of the Republic of Slovenia.;73,1;;Statistical Office of the Republic of Slovenia;75,5;Individuals aged 16-74 years who used the Internet in the last 3 months.;Statistical Office of the Republic of Slovenia;78,89;Individuals aged 16-74 years who used the Internet in the last 3 months.;Statistical Office of the Republic of Slovenia;79,75;;Statistical Office of the Republic of Slovenia;83,11;;Statistical Office of the Republic of Slovenia;86,6;;Statistical Office of the Republic of Slovenia 
Internet users (%);Solomon Islands;0,48;;;0,47;;;0,5;;;0,56;;;0,65;;;0,84;;;1,65;;;2;;ITU estimate.;3;;ITU estimate.;4;;ITU estimate.;5;;ITU estimate.;6;;ITU estimate.;7;;ITU estimate.;8;;ITU estimate.;9;;ITU estimate.;10;;ITU estimate.;11;;ITU Estimate.;11,92;;ITU estimate.;;;;;;;;;
Internet users (%);Somalia;0,02;;Ministry of Posts and Telecommunications.;0,08;;ITU estimate.;0,12;;ITU estimate.;0,38;;ITU estimate.;1,05;;ITU estimate.;1,08;;ITU estimate.;1,1;;ITU estimate.;1,12;;ITU estimate.;1,14;;ITU estimate.;1,16;;ITU estimate.;;;;1,25;;ITU estimate.;1,38;;ITU estimate.;1,5;;ITU estimate.;1,63;;ITU estimate.;1,76;;ITU estimate.;1,88;;ITU Estimate.;2;;ITU estimate.;;;;;;;;;
Internet users (%);South Africa;5,35;;Media Africa, Internet Solutions, W2003-2004.;6,35;;Media Africa, Internet Solutions, W2003-2004.;6,71;;Media Africa, Internet Solutions, W2003-2004.;7,01;;Media Africa, Internet Solutions, W2003-2004.;8,43;;Media Africa, Internet Solutions, W2003-2004.;7,49;;Media Africa, Internet Solutions, W2003-2004.;7,61;;Media Africa, Internet Solutions, W2003-2004.;8,07;;World Wide Worx.;8,43;;Independent Communications Authority of South Africa;10;;ITU estimate based on SAARF.;24;;ITU estimate.;33,97;Population age 5+.;Statistics South Africa;41;;ITU estimate.;46,5;;ITU estimate.;49;;ITU estimate.;51,92;;ITU estimate.;54;;ITU Estimate.;56,17;;ITU estimate.;62,4;;ITU estimate.;68,2;;ITU estimate.;70;;ITU estimate.
Internet users (%);South Sudan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,2;;ITU estimate.;2,6;;ITU estimate.;3;;ITU estimate.;3,5;;ITU estimate.;4,1;Population age 15+.;Findex.;4,8;;ITU estimate.;5,6;;ITU estimate.;6,5;;ITU estimate.
Internet users (%);Spain;13,62;November. Population age 14+.;red.es. Spanish Internet Users Association.;18,15;November. Population age 14+.;red.es. Spanish Internet Users Association.;20,39;Population age 16-74 using Internet in the last 3 months.;Eurostat.;39,93;Population age 16-74 using Internet in the last 3 months.;Eurostat.;44,01;Population age 16-74 using Internet in the last 12 months.;Eurostat.;47,88;Population age 16-74 using Internet in the last 12 months.;Eurostat.;50,37;Population age 16-74 using Internet in the last 12 months.;Eurostat.;55,11;Population age 16-74 using Internet in the last 12 months.;Eurostat.;59,6;CMT's survey. Population age 10+.;Comisión del Mercado de las Telecomunicaciones;62,4;CMT's survey. Population age 10+.;Comisión del Mercado de las Telecomunicaciones;65,8;CMT's survey. Population age 10+.;Comisión del Mercado de las Telecomunicaciones;67,09;CMT's survey. Population age 10+.;Comisión del Mercado de las Telecomunicaciones;69,81; Users in the last 3 months.;Eurostat.;71,64;Population age 16-74.;Eurostat.;76,19;Population age 16-74.;Eurostat;78,69;Users of Internet in the last 3 months.;Instituto Nacional de Estadistica;80,56;Users of Internet in the last 3 months.;ITU;84,6;Users of Internet in the last 3 months.;Instituto Nacional de Estadistica;86,11;;Instituto Nacional de Estadistica;90,72;;Instituto Nacional de Estadistica;93,21;;Instituto Nacional de Estadística (INE)
Internet users (%);Sri Lanka;0,65;;Telecommunications Regulatory Commission of Sri Lanka.;0,79;;Telecommunications Regulatory Commission of Sri Lanka.;1,05;;Telecommunications Regulatory Commission of Sri Lanka.;1,46;;Telecommunications Regulatory Commission of Sri Lanka.;1,45;;Telecommunications Regulatory Commission of Sri Lanka.;1,79;;ITU estimate.;2,54;;Telecommunications Regulatory Commission of Sri Lanka.;3,88;;Telecommunications Regulatory Commission of Sri Lanka;;;;;;;;;;;;;;;;;;;10,5;;Department of Census and Statistics;12,1;5 – 69 years used in last year, DC&S.;ITU estimate.;15,1;;Department of Census and Statistics;21,3;;Department of Census and Statistics;26;;ITU based on Department of Census and Statistics;29;;ITU based on Department of Census and Statistics;35;;ITU based on Department of Census and Statistics
Internet users (%);St. Helena;5,92;;Cable & Wireless plc. (C&W).;7,99;Dec.;Cable & Wireless plc. (C&W).;10,13;;Cable & Wireless plc. (C&W).;12,34;;Cable & Wireless plc. (C&W).;14,62;;Cable & Wireless plc. (C&W).;15,91;;Cable & Wireless plc. (C&W).;17,23;;Cable & Wireless plc. (C&W).;18,57;;Cable & Wireless South Atlantic Ltd;18,82;;Cable & Wireless South Atlantic Ltd;19,07;;Cable & Wireless South Atlantic Ltd;24,94;;Cable & Wireless South Atlantic Ltd.;33;;Cable & Wireless South Atlantic Ltd.;37,6;;ITU estimate.;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);St. Maarten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);St. Pierre & Miquelon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Sudan;0,03;;;0,14;;;0,44;;;0,54;;;0,79;;;1,29;;;;;;8,66;;NTC.;;;;;;;;;;;;;;;;;;;;;;;;;14,1;Population 5+.;Central Bureau of Statistics;18,6;;ITU estimate.;24,6;;ITU estimate.;25,9;;ITU estimate.;28,4;;ITU estimate.
Internet users (%);Suriname;2,51;;Telecommunicatiebedrijf Suriname (TELESUR).;3,06;;Telecommunicatiebedrijf Suriname (TELESUR).;4,16;;Telecommunicatiebedrijf Suriname (TELESUR).;4,72;;Telecommunicatiebedrijf Suriname (TELESUR).;6,08;;Telecommunicatiebedrijf Suriname (TELESUR).;6,4;;Telecommunicatiebedrijf Suriname (TELESUR).;9,5;;ITU estimate.;14,11;;Telecommunications Authority Suriname (TAS);21,06;;ITU estimate.;31,36;;Telecommunications Authority Suriname (TAS);31,59;;Telecommunications Authority Suriname (TAS);32;;ITU estimate.;34,68;;ITU estimate.;37,4;;ITU estimate.;40,08;;ITU estimate.;42,76;;ITU estimate.;45,4;;ITU Estimate.;48,95;;ITU estimate.;53,8;;ITU estimate.;68,75;;ITU estimate.;70,06;;ITU estimate.
Internet users (%);Sweden;45,69;;Swedish Institute for Transport and Communications Analysis.;51,77;;Swedish Institute for Transport and Communications Analysis.;70,57;Population age 16-74, in the last 3 months.;Eurostat.;79,13;Population age 16-74.;Eurostat.;83,89;Population age 16-74.;Eurostat.;84,83;Population age 16-74.;Eurostat.;87,76;Population age 16-74.;Eurostat.;82,01;Population age 16-74.;Eurostat.;90;Population age 16-75.;Swedish Post and Telecom Agency;91;Population age 16-75.;Swedish Post and Telecom Agency;90;Population age 16-75.;Swedish Post and Telecom Agency;92,77; Users in the last 3 months. Age 16-74.;Eurostat.;93,18; Users in the last 3 months.;Eurostat.;94,78;Population age 16-74.;Eurostat.;92,52;Population age 16-74.;Eurostat;90,61;;Statistics Sweden;89,65;Numbers are rounded in the calculations, hence the sum of the parts may not equal the total.;Statistics Sweden;93,01;;Statistics Sweden;89,25;;Statistics Sweden;94,49;;Statistics Sweden;94,54;;Statistics Sweden
Internet users (%);Switzerland;47,1;In the last 6 months. Population age 14+;Office fédéral de la statistique.;55,1;In the last 6 months. Population age 14+.;Office fédéral de la statistique.;61,4;In the last 6 months. Population age 14+.;Office fédéral de la statistique.;65,1;In the last 6 months. Population age 14+.;Office fédéral de la statistique.;67,8;In the last 6 months. Population age 14+.;Office fédéral de la statistique.;70,1;In the last 6 months. Population age 14+.;Office fédéral de la statistique.;75,7;In the last 6 months. Population age 14+.;Office fédéral de la statistique.;77,2;In the last 6 months. Population age 14+.;Office fédéral de la statistique.;79,2;In the last 6 months. Population age 14+.;Office fédéral de la statistique.;81,3;In the last 6 months. Population age 14+.;Office fédéral de la statistique.;83,9;In the last 6 months. Population age 14+.;Office fédéral de la statistique.;85,19;In the last 6 months. Population age 14+.;Swiss Federal Statistical Office;85,2;In the last 6 months. Population age 14+.;Swiss Federal Statistical Office;86,34;In the last 6 months. Population age 14+.;Swiss Federal Statistical Office;87,4;In the last 6 months. Population age 14+.;Swiss Federal Statistical Office;87,48;;Swiss Federal Statistical Office;89,13;;Swiss Federal Statistical Office;89,69;;Swiss Federal Statistical Office;91,8;;ITU estimate.;93,15;;Swiss Federal Statistical Office;94,2;estimate;Swiss Federal Statistical Office
Internet users (%);Syrian Arab Republic;0,18;;;0,35;;;2,09;;;3,4;;ITU estimate.;4,32;;ITU estimate.;5,65;;ITU estimate.;7,83;;ITU estimate.;11,5;;ITU estimate.;14;;Syrian Telecommunication Establishment;17,3;;Syrian Telecommunication Establishment;20,7;;Syrian Telecommunication Establishment;22,5;Estimate.;Syrian Telecommunication Establishment;24,3;;ITU estimate.;26,2;;ITU estimate.;28,09;;ITU estimate.;29,98;;ITU estimate.;31,87;;ITU Estimate.;32,7;;ITU estimate.;33,77;;ITU estimate.;34,65;;ITU estimate.;35,78;;ITU estimate.
Internet users (%);Taiwan, Province of China;28,1;;Directorate General of Telecommunications (DGT).;34,9;;Directorate General of Telecommunications (DGT).;47,6;;Directorate General of Telecommunications (DGT).;51,94;;Directorate General of Telecommunications (DGT).;53,81;;Directorate General of Telecommunications (DGT).;58,01;;Directorate General of Telecommunications (DGT).;63,68;;Directorate General of Telecommunications (DGT).;64,45;;National Communications Commission;65,84;;National Communications Commission;69,9;;National Communications Commission;71,5;;National Communications Commission;72;;National Communications Commission;75,99;;ITU estimate.;76,29;Population age 12+.;The National Development Council.;78,04;Population age 12+.;The National Development Council.;78,04;;National Communications Commission;79,75;;National Communications Commission;82,9;;ITU estimate.;86,21;;National Communications Commission;88,82;;National Communications Commission;89; population aged 16+ ;National Communications Commission
Internet users (%);Tajikistan;0,05;;Ministry of Communications.;0,05;;Ministry of Communications.;0,06;;Ministry of Communications.;0,06;;Tajiktelecom.;0,08;;Tajiktelecom.;0,3;;RCC.;3,77;;Tajiktelecom.;7,2;;Tajiktelecom.;8,78;;Communication Service under the Government of the Republic of Tajikistan;10,07;;Communication Service under the Government of the Republic of Tajikistan;11,55;;ITU estimate.;13,03;;ITU estimate.;14,51;;ITU estimate.;16;;ITU estimate.;17,49;;ITU estimate.;18,98;;ITU estimate.;20,47;;ITU Estimate.;21,96;;ITU estimate.;;;;;;;;;
Internet users (%);Tanzania;0,12;;Tanzania Telecommunications Company Ltd (TTCL).;0,17;;Tanzania Telecommunications Company Ltd (TTCL).;0,22;;Tanzania Telecommunications Company Ltd (TTCL).;0,68;;Tanzania Telecommunications Company Ltd (TTCL).;0,88;;Tanzania Telecommunications Company Ltd (TTCL).;1,1;;ITU estimate.;1,3;;ITU estimate.;1,6;;TCRA;1,9;;ITU estimate.;2,4;;ITU estimate.;2,9;;ITU estimate.;3,2;;ITU estimate based on RIA.;3,95;;ITU estimate.;4,4;;ITU estimate.;7;;ITU estimate.;10;;ITU estimate.;13,5;DHS.;"ITU estimate.
National Bureau of Statistics
";16;;ITU estimate.;19;;ITU estimate.;20;;ITU estimate.;22;;ITU estimate.
Internet users (%);Thailand;3,69;;NECTEC.;5,56;;NECTEC.;7,53;;NECTEC.;9,3;;NECTEC.;10,68;;NECTEC.;15,03;;NECTEC.;17,16;;NECTEC.;20,03;;Ministry of Information and Communication Technology;18,2;;Ministry of Information and Communication Technology;20,1;;Ministry of Information and Communication Technology;22,4;;National Statistical Office;23,67;Excluding game machine and digital TV.;National Statistical Office;26,46;Population age 6+.;National Statistical Office;28,94;Population age 6+.;National Statistical Office;34,89;Population age 6+. Slight break in comparability since total population estimates were revised and they are lower than in 2013.;National Statistical Office;39,32;Individuals 6 years and older;National Statistical Office;47,5;Individuals 6 years and older;ITU;52,89;Individuals 6 years and older;National Statistical Office;56,82;;National Statistical Office;66,65;;National Statistical Office;77,84;;National Statistical Office of Thailand
Internet users (%);Timor-Leste;;;;;;;0;;Communication Regulatory Authority.;;;;;;;0,1;;Communication Regulatory Authority.;0,5;;Communication Regulatory Authority.;1;;ITU estimate.;1,5;;ITU estimate.;2;;ITU estimate.;3;;ITU estimate.;4;;ITU estimate.;7;;ITU estimate.;11;;ITU estimate.;17,5;;ITU estimate.;18,6;;ITU estimate.;21,2;;ITU Estimate.;24,2;;ITU estimate.;27,6;;ITU estimate.;29;;ITU estimate.;29,1;;ITU estimate.
Internet users (%);Togo;0,8;;ITU estimate. ;0,9;;ITU estimate. ;1;;ITU estimate. ;1,2;;ITU estimate. ;1,5;;ITU estimate. ;1,8;;ITU estimate.;2;;ITU estimate.;2,2;;ITU estimate.;2,4;;ITU estimate.;2,6;;ITU estimate.;3;;ITU estimate.;3,5;;ITU estimate. ;4;;ITU estimate.;4,5;;ITU estimate.;5,7;;ITU estimate.;7,12;;ITU estimate.;11,31;;ITU Estimate.;12,36;;Institut national de la statistique et des études économiques et démographiques ;15,5;;ITU estimate.;19,3;;ITU estimate.;24;;ITU estimate.
Internet users (%);Tokelau;;;;;;;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Internet users (%);Tonga;2,43;;;2,83;;;2,91;;;2,99;;ITU estimate.;3,95;;ITU estimate.;4,91;;ITU estimate.;5,85;;ITU estimate.;7,18;;ITU estimate.;8,11;;Prime Minister's Office.;10;;ITU estimate.;16;;ITU estimate.;25;;Ministry of Information and Communication;30;;ITU estimate.;32,75;;ITU estimate.;35,95;;ITU estimate.;38,65;;ITU estimate.;39,95;;ITU Estimate.;41,25;;ITU estimate.;;;;;;;;;
Internet users (%);Trinidad and Tobago;7,72;;Telecommunications Services of Trinidad and Tobago (TSTT).;15,38;;ITU estimate.;22;;ITU estimate.;25,97;;ITU estimate.;27,02;;ITU estimate.;28,98;;ITU estimate.;30;;ITU estimate.;32,3;Country estimate.;Telecommunications Authority of Trinidad and Tobago;34,8;Country estimate.;Telecommunications Authority of Trinidad and Tobago;44,3;Country estimate.;Telecommunications Authority of Trinidad and Tobago;48,5;Country estimate.;Telecommunications Authority of Trinidad and Tobago (TATT);55,2;Country estimate.;Telecommunications Authority of Trinidad and Tobago (TATT);57,5;;ITU estimate.;59,9;;ITU estimate.;62,4;;ITU estimate.;65,1;;ITU estimate.;67,8;;;70,6;;;;;;;;;;;
Internet users (%);Tunisia;2,75;;;4,3;;;5,25;;;6,49;;;8,53;;;9,66;;;12,99;;;17,1;;Ministère des Technologies de la Communication;27,53;;Ministère des Technologies de la Communication;34,07;;Ministère des Technologies de la Communication;36,8;;Secrétariat d'Etat des Technologies de la Communication;39,1;;Ministère des Technologies de l'Information et de la Communication;41,44;;ITU estimate.;43,8;;ITU estimate.;46,16;;ITU estimate.;46,5;;ITU;49,6;;ITU;55,5;;Institut National de la Statistique;64,19;;Institut National de la Statistique;66,7;;Institut National de la Statistique;71,9;;ITU estimate.
